code,date,uplimit_times,fake_time,uplimit_time,break_time,min_bigorder,yield_rate
002223,2020-02-03,24,2020-02-03 14:59:34.670,2020-02-03 13:59:05.480,2020-02-03 15:00:00.000,1,0.067411545623836
002341,2020-02-03,1,2020-02-03 11:01:28.510,2020-02-03 10:59:20.570,2020-02-03 11:02:17.640,1,0.012784090909090828
000850,2020-02-04,2,2020-02-04 13:33:24.300,2020-02-04 13:32:41.310,2020-02-04 15:00:00.000,1,0.05263157894736836
002160,2020-02-04,1,2020-02-04 09:49:19.370,2020-02-04 09:49:09.160,2020-02-04 09:49:38.780,1,0.10086455331412104
002160,2020-02-04,2,2020-02-04 09:50:45.920,2020-02-04 09:50:00.320,2020-02-04 15:00:00.000,1,0.10086455331412104
002912,2020-02-04,1,2020-02-04 10:07:14.020,2020-02-04 10:04:41.430,2020-02-04 10:10:44.180,1,0.09120450606585816
300282,2020-02-04,1,2020-02-04 11:21:03.590,2020-02-04 11:20:17.740,2020-02-04 15:00:00.000,1,0.10209424083769614
300436,2020-02-04,2,2020-02-04 11:21:05.630,2020-02-04 11:19:54.070,2020-02-04 15:00:00.000,1,0.07365868444983326
300496,2020-02-04,1,2020-02-04 11:17:55.540,2020-02-04 11:12:50.620,2020-02-04 11:19:00.430,1,0.035118219749652235
300658,2020-02-04,3,2020-02-04 10:28:08.700,2020-02-04 10:23:41.880,2020-02-04 11:18:25.650,1,0.1002506265664158
002328,2020-02-05,2,2020-02-05 13:25:56.610,2020-02-05 13:06:01.310,2020-02-05 13:40:25.250,1,0.09903381642512077
002742,2020-02-05,1,2020-02-05 11:28:19.950,2020-02-05 11:27:52.990,2020-02-05 15:00:00.000,1,0.10035211267605648
300074,2020-02-05,1,2020-02-05 10:16:34.100,2020-02-05 10:15:26.660,2020-02-05 10:16:54.850,1,0.09957627118644076
300074,2020-02-05,2,2020-02-05 10:19:44.070,2020-02-05 10:19:12.580,2020-02-05 14:21:13.470,1,0.09957627118644076
300343,2020-02-05,1,2020-02-05 14:52:21.690,2020-02-05 11:02:57.600,2020-02-05 15:00:00.000,1,0.10035842293906794
300760,2020-02-05,26,2020-02-05 11:22:45.390,2020-02-05 10:55:49.370,2020-02-05 15:00:00.000,1,0.008409473157870773
000078,2020-02-06,59,2020-02-06 10:52:31.460,2020-02-06 10:47:25.670,2020-02-06 15:00:00.000,1,0.017021276595744702
000420,2020-02-06,1,2020-02-06 10:01:46.310,2020-02-06 10:00:11.620,2020-02-06 15:00:00.000,1,0.05188679245283012
000566,2020-02-06,4,2020-02-06 10:32:50.070,2020-02-06 10:30:01.470,2020-02-06 15:00:00.000,1,0.07565011820330958
