code,date,uplimit_times,fake_time,uplimit_time,break_time,min_bigorder,yield_rate
300132,2020-01-02,1,2020-01-02 09:38:06.260,2020-01-02 09:37:41.510,2020-01-02 09:43:40.170,5,0.039571310799670016
300264,2020-01-02,3,2020-01-02 10:49:22.520,2020-01-02 10:48:13.120,2020-01-02 15:00:00.000,5,0.10000000000000007
000892,2020-01-03,4,2020-01-03 09:48:15.790,2020-01-03 09:44:38.070,2020-01-03 15:00:00.000,5,-0.009063444108761365
002530,2020-01-03,4,2020-01-03 09:55:10.790,2020-01-03 09:54:17.540,2020-01-03 09:55:37.730,5,0.07560137457044669
002878,2020-01-03,8,2020-01-03 10:53:47.080,2020-01-03 09:49:10.050,2020-01-03 13:00:02.810,5,-0.054901960784313635
300189,2020-01-03,2,2020-01-03 10:36:48.360,2020-01-03 10:36:14.310,2020-01-03 15:00:00.000,5,-0.028645833333333263
300592,2020-01-03,1,2020-01-03 09:36:27.350,2020-01-03 09:36:14.040,2020-01-03 09:36:41.710,5,-0.07093195931959329
300643,2020-01-03,1,2020-01-03 10:28:06.310,2020-01-03 10:27:31.760,2020-01-03 10:30:37.300,5,0.05591916083512905
002776,2020-01-15,6,2020-01-15 13:21:22.120,2020-01-15 13:20:24.330,2020-01-15 15:00:00.000,5,-0.01345755693581785
000998,2020-01-16,2,2020-01-16 14:37:32.760,2020-01-16 14:37:00.070,2020-01-16 14:40:10.280,5,-0.02491614758025873
300573,2020-01-16,1,2020-01-16 13:28:50.810,2020-01-16 13:05:24.380,2020-01-16 13:35:18.730,5,0.0
300603,2020-01-16,1,2020-01-16 10:03:02.830,2020-01-16 10:02:39.200,2020-01-16 10:10:08.100,5,0.09992810927390372
002166,2020-01-20,2,2020-01-20 10:10:52.870,2020-01-20 10:09:59.920,2020-01-20 10:11:14.610,5,0.10000000000000007
002529,2020-01-20,1,2020-01-20 09:40:12.980,2020-01-20 09:35:58.460,2020-01-20 10:13:05.310,5,0.06323529411764706
300221,2020-01-20,1,2020-01-20 09:32:22.960,2020-01-20 09:31:38.430,2020-01-20 09:33:03.690,5,-0.09538002980625926
002584,2020-01-21,1,2020-01-21 09:50:07.280,2020-01-21 09:49:45.210,2020-01-21 15:00:00.000,5,-0.051948051948051965
300030,2020-01-21,3,2020-01-21 09:46:10.910,2020-01-21 09:45:05.080,2020-01-21 10:18:42.420,5,-0.010165184243964398
300256,2020-01-21,1,2020-01-21 10:04:34.660,2020-01-21 10:03:58.470,2020-01-21 15:00:00.000,5,0.058321479374110925
000518,2020-01-22,13,2020-01-22 10:32:46.470,2020-01-22 10:03:19.130,2020-01-22 10:39:49.590,5,0.1002004008016033
300641,2020-01-22,1,2020-01-22 09:34:12.230,2020-01-22 09:33:59.350,2020-01-22 09:39:10.840,5,-0.14685314685314674
002584,2020-01-23,1,2020-01-23 14:23:09.650,2020-01-23 14:22:28.560,2020-01-23 15:00:00.000,5,0.09968847352024923
300342,2020-01-23,1,2020-01-23 10:05:56.380,2020-01-23 10:05:01.830,2020-01-23 10:18:12.940,5,-0.10018050541516244
000698,2020-02-03,1,2020-02-03 10:43:45.380,2020-02-03 10:43:04.650,2020-02-03 15:00:00.000,5,0.061224489795918435
002341,2020-02-03,1,2020-02-03 11:01:30.030,2020-02-03 10:59:20.570,2020-02-03 11:02:17.640,5,0.012784090909090828
002160,2020-02-04,2,2020-02-04 09:50:45.930,2020-02-04 09:50:00.320,2020-02-04 15:00:00.000,5,0.10086455331412104
300282,2020-02-04,1,2020-02-04 11:21:03.600,2020-02-04 11:20:17.740,2020-02-04 15:00:00.000,5,0.10209424083769614
300496,2020-02-04,1,2020-02-04 11:17:58.220,2020-02-04 11:12:50.620,2020-02-04 11:19:00.430,5,0.035118219749652235
300343,2020-02-05,1,2020-02-05 14:53:25.160,2020-02-05 11:02:57.600,2020-02-05 15:00:00.000,5,0.10035842293906794
300760,2020-02-05,26,2020-02-05 11:23:32.650,2020-02-05 10:55:49.370,2020-02-05 15:00:00.000,5,0.008409473157870773
000078,2020-02-06,59,2020-02-06 10:55:38.760,2020-02-06 10:47:25.670,2020-02-06 15:00:00.000,5,0.017021276595744702
002274,2020-02-10,2,2020-02-10 13:37:25.130,2020-02-10 13:33:51.330,2020-02-10 13:41:02.640,5,-0.018808777429467072
002328,2020-02-10,1,2020-02-10 09:46:42.990,2020-02-10 09:45:59.120,2020-02-10 10:08:23.500,5,-0.06717850287907867
002540,2020-02-10,1,2020-02-10 14:09:11.440,2020-02-10 14:07:03.780,2020-02-10 14:11:55.470,5,0.06783369803063444
002591,2020-02-10,5,2020-02-10 13:20:44.700,2020-02-10 13:06:08.920,2020-02-10 15:00:00.000,5,-0.0285110876451955
000890,2020-02-11,2,2020-02-11 10:04:44.790,2020-02-11 09:52:25.470,2020-02-11 10:16:41.030,5,-0.02263374485596714
300534,2020-02-11,3,2020-02-11 09:36:51.650,2020-02-11 09:36:30.380,2020-02-11 09:46:11.580,5,-0.040000000000000036
002829,2020-02-12,1,2020-02-12 13:56:38.640,2020-02-12 13:55:10.150,2020-02-12 14:23:02.050,5,0.09434682964094733
300247,2020-02-12,4,2020-02-12 09:44:32.190,2020-02-12 09:43:53.390,2020-02-12 09:51:43.730,5,-0.054607508532423236
300340,2020-02-12,1,2020-02-12 10:33:14.550,2020-02-12 10:27:00.640,2020-02-12 10:40:30.050,5,-0.061688311688311674
000540,2020-02-13,1,2020-02-13 09:38:05.820,2020-02-13 09:36:11.220,2020-02-13 09:46:14.900,5,0.10097719869706843
000540,2020-02-14,3,2020-02-14 10:49:48.410,2020-02-14 10:49:06.290,2020-02-14 10:50:38.250,5,0.10059171597633143
000609,2020-02-14,1,2020-02-14 11:28:03.630,2020-02-14 11:22:52.570,2020-02-14 15:00:00.000,5,0.04724409448818912
002483,2020-02-14,1,2020-02-14 10:16:30.030,2020-02-14 10:15:55.720,2020-02-14 10:35:48.490,5,0.09984152139461178
002880,2020-02-14,2,2020-02-14 09:36:14.620,2020-02-14 09:35:46.120,2020-02-14 09:37:43.730,5,-0.005815687444079898
300102,2020-02-14,1,2020-02-14 13:07:23.900,2020-02-14 13:07:09.510,2020-02-14 13:07:42.250,5,0.10040160642570273
300235,2020-02-14,8,2020-02-14 14:18:55.350,2020-02-14 14:17:08.680,2020-02-14 15:00:00.000,5,-0.03162055335968384
000525,2020-02-17,12,2020-02-17 09:35:20.060,2020-02-17 09:34:39.890,2020-02-17 15:00:00.000,5,0.016917293233082775
000697,2020-02-17,1,2020-02-17 10:26:55.120,2020-02-17 09:52:40.990,2020-02-17 15:00:00.000,5,0.09989142236699244
002215,2020-02-17,6,2020-02-17 09:49:23.230,2020-02-17 09:47:26.820,2020-02-17 09:49:50.830,5,-0.09090909090909094
002215,2020-02-17,11,2020-02-17 10:07:56.590,2020-02-17 10:05:30.720,2020-02-17 10:29:31.560,5,-0.09090909090909094
002396,2020-02-17,11,2020-02-17 13:14:26.190,2020-02-17 13:07:21.310,2020-02-17 13:37:22.600,5,-0.003505491937368488
300087,2020-02-17,2,2020-02-17 09:59:13.580,2020-02-17 09:56:54.380,2020-02-17 10:21:47.820,5,0.10000000000000007
300230,2020-02-17,2,2020-02-17 09:30:54.150,2020-02-17 09:30:37.240,2020-02-17 09:32:34.430,5,0.10063897763578278
300280,2020-02-17,3,2020-02-17 09:49:03.930,2020-02-17 09:47:46.580,2020-02-17 09:50:04.550,5,0.10013908205841447
000540,2020-02-18,1,2020-02-18 09:39:51.160,2020-02-18 09:39:26.540,2020-02-18 09:40:42.560,5,0.053789731051344665
000540,2020-02-18,5,2020-02-18 09:58:21.280,2020-02-18 09:57:43.570,2020-02-18 09:59:09.720,5,0.053789731051344665
002101,2020-02-18,1,2020-02-18 09:57:37.190,2020-02-18 09:53:03.890,2020-02-18 09:59:02.180,5,-0.041935483870967794
002189,2020-02-18,3,2020-02-18 10:25:47.080,2020-02-18 10:19:17.950,2020-02-18 10:29:09.800,5,0.056797020484171235
002413,2020-02-18,2,2020-02-18 09:41:36.510,2020-02-18 09:40:39.820,2020-02-18 09:42:00.420,5,0.056396148555708514
000700,2020-02-19,4,2020-02-19 14:45:32.760,2020-02-19 14:44:56.180,2020-02-19 14:51:13.080,5,-0.06794871794871793
000797,2020-02-19,2,2020-02-19 10:03:55.030,2020-02-19 10:02:47.100,2020-02-19 10:04:50.150,5,0.013623978201634973
000875,2020-02-19,2,2020-02-19 10:19:08.620,2020-02-19 10:18:33.360,2020-02-19 10:20:19.750,5,0.0050632911392405324
002121,2020-02-19,1,2020-02-19 09:34:29.550,2020-02-19 09:31:42.560,2020-02-19 09:34:52.400,5,-0.061946902654867124
002542,2020-02-19,2,2020-02-19 09:52:03.600,2020-02-19 09:51:21.590,2020-02-19 15:00:00.000,5,-0.02067183462532296
300032,2020-02-19,1,2020-02-19 09:35:19.410,2020-02-19 09:34:51.620,2020-02-19 10:03:19.030,5,0.10109890109890116
300041,2020-02-19,9,2020-02-19 09:49:44.510,2020-02-19 09:48:27.050,2020-02-19 09:52:55.220,5,0.057793345008756665
300467,2020-02-19,1,2020-02-19 13:29:51.130,2020-02-19 13:28:57.200,2020-02-19 13:34:16.230,5,0.00396628656420428
300661,2020-02-19,1,2020-02-19 14:05:52.840,2020-02-19 10:22:10.530,2020-02-19 14:08:03.560,5,0.04972816905734567
000536,2020-02-20,3,2020-02-20 13:58:08.500,2020-02-20 13:53:06.910,2020-02-20 14:04:05.270,5,0.003921568627450967
002418,2020-02-20,3,2020-02-20 10:34:53.970,2020-02-20 10:25:17.160,2020-02-20 15:00:00.000,5,-0.007547169811320753
002805,2020-02-20,8,2020-02-20 10:01:01.280,2020-02-20 09:53:22.830,2020-02-20 15:00:00.000,5,0.016548463356973908
300162,2020-02-20,3,2020-02-20 13:51:50.330,2020-02-20 13:50:51.160,2020-02-20 15:00:00.000,5,-0.0222007722007721
000016,2020-02-21,13,2020-02-21 14:07:29.970,2020-02-21 14:07:04.340,2020-02-21 14:08:18.480,5,-0.0551248923341946
000889,2020-02-21,1,2020-02-21 09:41:13.910,2020-02-21 09:40:50.440,2020-02-21 09:43:26.080,5,0.06569343065693434
002245,2020-02-21,4,2020-02-21 10:33:11.120,2020-02-21 10:32:20.800,2020-02-21 15:00:00.000,5,-0.007092198581560294
300504,2020-02-21,1,2020-02-21 14:33:50.050,2020-02-21 14:33:14.960,2020-02-21 14:35:13.500,5,0.030622324662495926
300658,2020-02-21,1,2020-02-21 14:04:04.440,2020-02-21 13:58:58.820,2020-02-21 14:06:39.560,5,0.1000944287063268
002006,2020-02-24,1,2020-02-24 10:24:00.930,2020-02-24 09:54:23.650,2020-02-24 10:24:49.270,5,-0.01384083044982698
002598,2020-02-24,1,2020-02-24 09:38:08.200,2020-02-24 09:36:45.590,2020-02-24 09:39:08.420,5,-0.04694167852062581
002970,2020-02-24,1,2020-02-24 09:53:41.390,2020-02-24 09:53:30.660,2020-02-24 10:25:02.590,5,0.048230731943771366
