code,date,uplimit_times,fake_time,uplimit_time,break_time,min_bigorder,yield_rate
000810,2020-01-02,13,2020-01-02 13:43:25.500,2020-01-02 13:41:20.420,2020-01-02 13:50:49.070,0,0.012130401819560266
002503,2020-01-02,18,2020-01-02 13:34:23.970,2020-01-02 13:30:50.100,2020-01-02 13:39:18.430,0,-0.02281368821292773
002623,2020-01-02,3,2020-01-02 14:44:22.890,2020-01-02 10:24:38.260,2020-01-02 15:00:00.000,0,-0.01589889930697108
300038,2020-01-02,5,2020-01-02 14:04:30.080,2020-01-02 14:02:16.660,2020-01-02 14:05:57.250,0,0.10021097046413496
300132,2020-01-02,1,2020-01-02 09:38:04.850,2020-01-02 09:37:41.510,2020-01-02 09:43:40.170,0,0.039571310799670016
300264,2020-01-02,3,2020-01-02 10:49:22.510,2020-01-02 10:48:13.120,2020-01-02 15:00:00.000,0,0.10000000000000007
300792,2020-01-02,1,2020-01-02 09:51:36.050,2020-01-02 09:50:59.970,2020-01-02 09:51:48.500,0,-0.0017495111659977525
000892,2020-01-03,4,2020-01-03 09:48:10.670,2020-01-03 09:44:38.070,2020-01-03 15:00:00.000,0,-0.009063444108761365
002041,2020-01-03,5,2020-01-03 09:47:35.940,2020-01-03 09:46:55.180,2020-01-03 09:48:14.120,0,-0.0997566909975669
002264,2020-01-03,1,2020-01-03 14:51:38.150,2020-01-03 14:51:15.500,2020-01-03 14:53:52.930,0,-0.021113243761996192
002530,2020-01-03,4,2020-01-03 09:55:06.370,2020-01-03 09:54:17.540,2020-01-03 09:55:37.730,0,0.07560137457044669
002530,2020-01-03,25,2020-01-03 13:56:14.250,2020-01-03 13:31:15.140,2020-01-03 15:00:00.000,0,0.07560137457044669
002878,2020-01-03,8,2020-01-03 10:53:41.090,2020-01-03 09:49:10.050,2020-01-03 13:00:02.810,0,-0.054901960784313635
300189,2020-01-03,2,2020-01-03 10:36:35.330,2020-01-03 10:36:14.310,2020-01-03 15:00:00.000,0,-0.028645833333333263
300592,2020-01-03,1,2020-01-03 09:36:27.350,2020-01-03 09:36:14.040,2020-01-03 09:36:41.710,0,-0.07093195931959329
300643,2020-01-03,1,2020-01-03 10:27:59.960,2020-01-03 10:27:31.760,2020-01-03 10:30:37.300,0,0.05591916083512905
002165,2020-01-15,2,2020-01-15 14:33:47.750,2020-01-15 14:33:18.930,2020-01-15 14:34:26.400,0,-0.052631578947368585
002776,2020-01-15,6,2020-01-15 13:21:06.610,2020-01-15 13:20:24.330,2020-01-15 15:00:00.000,0,-0.01345755693581785
300202,2020-01-15,3,2020-01-15 10:50:14.230,2020-01-15 10:49:24.930,2020-01-15 10:56:59.770,0,-0.04083204930662565
000700,2020-01-16,13,2020-01-16 10:13:39.980,2020-01-16 10:12:17.410,2020-01-16 15:00:00.000,0,0.09960681520314553
000998,2020-01-16,2,2020-01-16 14:37:31.370,2020-01-16 14:37:00.070,2020-01-16 14:40:10.280,0,-0.02491614758025873
300471,2020-01-16,1,2020-01-16 09:41:02.020,2020-01-16 09:39:35.240,2020-01-16 09:41:06.740,0,0.04406130268199249
300573,2020-01-16,1,2020-01-16 13:28:37.610,2020-01-16 13:05:24.380,2020-01-16 13:35:18.730,0,0.0
