000004,2020-02-17,4
000016,2020-02-21,13
000017,2020-04-03,2
000030,2020-02-26,1
000030,2020-02-28,1
000030,2020-05-29,3
000030,2020-05-29,4
000032,2020-04-03,1
000058,2020-04-03,3
000066,2020-02-07,1
000070,2020-02-24,1
000078,2020-02-06,59
000159,2020-04-21,2
000403,2020-05-20,3
000420,2020-02-06,1
000428,2020-03-02,1
000428,2020-04-09,1
000498,2020-02-27,4
000501,2020-06-01,9
000505,2020-03-30,17
000505,2020-03-31,4
000505,2020-04-07,3
000505,2020-04-07,5
000505,2020-04-07,7
000509,2020-02-27,1
000510,2020-02-28,2
000510,2020-02-28,7
000518,2020-01-22,13
000518,2020-02-03,11
000525,2020-02-17,12
000525,2020-04-13,11
000525,2020-04-22,10
000526,2020-02-13,2
000533,2020-04-09,2
000536,2020-02-20,3
000540,2020-02-13,1
000540,2020-02-14,3
000540,2020-02-18,1
000540,2020-02-18,5
000541,2020-05-22,1
000547,2020-02-17,3
000547,2020-04-02,1
000547,2020-04-02,2
000547,2020-04-02,3
000551,2020-05-20,1
000551,2020-05-22,4
000551,2020-05-22,7
000551,2020-05-26,4
000554,2020-04-02,2
000557,2020-04-14,9
000557,2020-05-19,8
000557,2020-05-20,1
000557,2020-06-05,5
000564,2020-06-02,3
000566,2020-02-06,4
000567,2020-05-28,4
000567,2020-06-01,3
000567,2020-06-03,3
000576,2020-03-26,1
000584,2020-05-20,6
000595,2020-02-11,5
000595,2020-02-11,7
000597,2020-01-21,4
000597,2020-03-23,6
000599,2020-04-20,1
000606,2020-05-13,4
000607,2020-04-23,2
000608,2020-02-25,1
000609,2020-02-14,1
000609,2020-04-29,4
000609,2020-05-07,5
000609,2020-05-11,2
000609,2020-05-11,4
000610,2020-03-20,1
000613,2020-06-02,9
000620,2020-05-14,1
000620,2020-05-14,2
000633,2020-04-10,1
000636,2020-02-07,1
000636,2020-02-12,5
000639,2020-03-25,2
000652,2020-01-23,31
000659,2020-06-04,11
000662,2020-03-24,1
000663,2020-03-13,1
000665,2020-05-21,10
000687,2020-06-02,4
000687,2020-06-02,5
000695,2020-02-06,2
000697,2020-02-17,1
000698,2020-02-03,1
000700,2020-01-16,13
000700,2020-01-21,57
000700,2020-02-19,4
000700,2020-03-17,30
000700,2020-05-12,1
000701,2020-05-26,1
000701,2020-06-02,6
000702,2020-04-07,1
000710,2020-04-09,2
000710,2020-05-21,1
000716,2020-05-19,1
000716,2020-05-19,4
000721,2020-03-16,1
000721,2020-03-16,2
000721,2020-06-04,18
000721,2020-06-04,5
000721,2020-06-09,22
000736,2020-03-25,2
000758,2020-02-07,3
000767,2020-04-16,4
000788,2020-05-19,1
000791,2020-03-23,3
000796,2020-04-24,1
000797,2020-02-19,2
000797,2020-03-16,6
000798,2020-04-07,4
000799,2020-04-17,8
000803,2020-03-17,1
000810,2020-01-02,13
000818,2020-05-08,4
000819,2020-02-07,16
000835,2020-06-04,1
000837,2020-03-16,1
000837,2020-03-16,2
000850,2020-02-04,2
000851,2020-05-06,5
000859,2020-04-02,1
000875,2020-02-19,2
000881,2020-03-02,5
000881,2020-03-02,7
000887,2020-03-27,4
000889,2020-02-21,1
000889,2020-03-24,21
000889,2020-03-24,5
000889,2020-04-02,2
000889,2020-04-02,3
000889,2020-04-02,9
000889,2020-04-10,6
000889,2020-04-14,1
000890,2020-02-11,2
000890,2020-02-11,3
000892,2020-01-03,4
000903,2020-04-02,1
000903,2020-04-08,2
000909,2020-03-19,2
000910,2020-05-28,3
000910,2020-06-03,2
000923,2020-06-08,2
000929,2020-06-03,1
000952,2020-01-21,2
000952,2020-04-17,8
000955,2020-02-25,1
000955,2020-04-13,4
000976,2020-04-07,1
000998,2020-01-16,2
000998,2020-05-07,33
002006,2020-02-24,1
002011,2020-03-24,2
002012,2020-02-24,7
002026,2020-02-06,7
002028,2020-02-20,2
002030,2020-03-18,9
002041,2020-01-03,5
002041,2020-04-20,37
002041,2020-04-20,7
002043,2020-03-02,7
002043,2020-05-21,1
002046,2020-05-14,2
002046,2020-05-14,5
002051,2020-02-26,6
002051,2020-05-26,3
002055,2020-02-25,6
002059,2020-03-20,1
002062,2020-02-26,1
002062,2020-02-28,1
002063,2020-03-26,5
002068,2020-06-02,10
002068,2020-06-02,2
002069,2020-03-12,3
002071,2020-05-22,1
002071,2020-06-01,3
002074,2020-02-19,11
002074,2020-04-16,10
002075,2020-04-16,13
002075,2020-05-13,14
002084,2020-05-19,2
002087,2020-02-28,2
002090,2020-06-08,1
002091,2020-02-05,3
002093,2020-03-23,1
002094,2020-05-15,3
002094,2020-05-15,5
002101,2020-02-18,1
002101,2020-02-18,3
002105,2020-05-29,5
002105,2020-06-04,2
002105,2020-06-05,2
002107,2020-06-03,1
002109,2020-03-24,18
002116,2020-01-16,1
002121,2020-02-19,1
002121,2020-04-16,2
002121,2020-04-16,5
002124,2020-03-02,1
002127,2020-04-16,14
002127,2020-05-07,3
002127,2020-05-07,5
002130,2020-02-18,2
002134,2020-02-07,12
002136,2020-03-31,5
002136,2020-04-10,1
002137,2020-05-29,2
002137,2020-05-29,4
002137,2020-06-01,1
002138,2020-05-26,1
002138,2020-05-26,2
002150,2020-03-23,1
002150,2020-03-24,9
002150,2020-06-03,2
002152,2020-04-07,5
002152,2020-04-07,9
002152,2020-04-20,11
002156,2020-04-17,7
002158,2020-02-28,4
002158,2020-03-02,2
002158,2020-05-06,1
002160,2020-02-04,1
002160,2020-02-04,2
002160,2020-02-19,2
002160,2020-02-24,2
002160,2020-02-25,2
002160,2020-02-26,35
002165,2020-01-15,2
002166,2020-01-20,2
002172,2020-02-28,3
002178,2020-04-03,16
002178,2020-04-03,5
002178,2020-04-07,2
002178,2020-04-13,2
002178,2020-04-13,4
002178,2020-04-17,1
002183,2020-06-01,10
002184,2020-02-24,10
002185,2020-02-25,1
002189,2020-02-18,3
002189,2020-05-29,8
002194,2020-03-19,5
002204,2020-04-22,2
002204,2020-05-14,6
002204,2020-05-18,12
002205,2020-03-27,2
002205,2020-03-30,1
002205,2020-03-31,1
002205,2020-04-16,1
002215,2020-02-17,11
002215,2020-02-17,6
002219,2020-02-05,1
002222,2020-05-27,1
002223,2020-02-03,24
002223,2020-03-26,5
002223,2020-03-26,8
002225,2020-04-01,2
002225,2020-04-01,3
002226,2020-04-09,1
002232,2020-02-25,1
002232,2020-02-26,5
002235,2020-02-07,9
002239,2020-02-20,1
002243,2020-04-27,8
002245,2020-02-21,4
002247,2020-04-09,1
002248,2020-05-08,1
002249,2020-04-15,4
002249,2020-04-15,5
002252,2020-04-23,1
002262,2020-05-06,7
002264,2020-01-03,1
002264,2020-03-19,1
002264,2020-04-14,1
002265,2020-03-20,1
002272,2020-03-24,4
002272,2020-05-18,2
002272,2020-05-19,1
002273,2020-05-26,1
002274,2020-02-10,2
002274,2020-02-10,6
002277,2020-05-29,3
002277,2020-05-29,4
002280,2020-05-21,1
002291,2020-03-02,4
002291,2020-06-01,6
002297,2020-05-28,1
002307,2020-03-02,4
002307,2020-05-18,2
002316,2020-01-20,3
002317,2020-03-20,6
002321,2020-02-19,4
002324,2020-01-20,2
002326,2020-02-05,2
002326,2020-04-17,4
002328,2020-02-05,2
002328,2020-02-10,1
002331,2020-03-18,2
002335,2020-02-21,7
002338,2020-03-19,3
002338,2020-05-26,7
002339,2020-03-18,6
002339,2020-03-20,1
002339,2020-03-20,10
002339,2020-03-20,5
002339,2020-03-20,6
002341,2020-02-03,1
002342,2020-03-19,1
002348,2020-02-06,7
002367,2020-03-02,1
002369,2020-05-22,1
002369,2020-05-22,10
002370,2020-04-07,1
002371,2020-05-19,2
002375,2020-03-12,9
002377,2020-06-10,1
002383,2020-02-12,1
002391,2020-02-13,14
002391,2020-03-02,1
002396,2020-02-17,11
002397,2020-02-27,1
002398,2020-05-28,2
002399,2020-06-09,10
002409,2020-05-29,7
002412,2020-03-25,4
002412,2020-04-10,10
002412,2020-04-10,2
002413,2020-02-17,3
002413,2020-02-18,2
002413,2020-02-18,3
002413,2020-02-18,4
002417,2020-02-05,1
002418,2020-02-20,3
002421,2020-03-23,6
002421,2020-04-02,1
002423,2020-03-31,5
002425,2020-06-10,1
002426,2020-03-18,2
002426,2020-03-18,9
002428,2020-02-14,2
002429,2020-02-04,1
002429,2020-02-24,6
002435,2020-02-06,1
002452,2020-02-27,6
002466,2020-05-13,1
002469,2020-05-06,3
002472,2020-04-20,1
002481,2020-02-27,1
002483,2020-02-13,2
002483,2020-02-14,1
002484,2020-02-24,3
002488,2020-06-01,1
002490,2020-03-23,1
002491,2020-04-09,2
002492,2020-04-23,4
002494,2020-03-27,1
002495,2020-03-31,1
002497,2020-04-01,3
002498,2020-02-11,1
002498,2020-04-29,4
002503,2020-01-02,18
002503,2020-02-28,4
002503,2020-02-28,8
002503,2020-03-16,22
002505,2020-05-06,9
002505,2020-05-07,2
002510,2020-02-21,7
002514,2020-05-21,1
002515,2020-03-24,1
002516,2020-02-24,6
002517,2020-02-26,3
002517,2020-02-26,4
002517,2020-02-27,4
002517,2020-03-02,1
002519,2020-03-17,4
002529,2020-01-20,1
002529,2020-01-20,4
002530,2020-01-03,25
002530,2020-01-03,4
002535,2020-02-26,1
002535,2020-02-26,2
002535,2020-02-26,5
002536,2020-02-14,4
002537,2020-04-10,49
002537,2020-04-17,3
002540,2020-02-10,1
002540,2020-02-10,3
002542,2020-02-19,2
002549,2020-02-18,2
002551,2020-03-12,25
002553,2020-05-25,1
002560,2020-03-16,3
002560,2020-03-16,5
002560,2020-03-16,7
002560,2020-04-15,1
002570,2020-04-20,2
002584,2020-01-21,1
002584,2020-01-23,1
002591,2020-02-10,5
002592,2020-04-24,5
002598,2020-02-24,1
002602,2020-04-14,1
002603,2020-01-20,17
002603,2020-01-21,14
002605,2020-05-29,2
002606,2020-04-22,3
002609,2020-05-29,3
002613,2020-02-13,4
002613,2020-02-13,5
002615,2020-04-29,2
002623,2020-01-02,3
002623,2020-02-12,1
002626,2020-05-26,1
002634,2020-04-27,7
002636,2020-02-19,3
002638,2020-02-11,4
002641,2020-05-27,1
002643,2020-02-19,2
002645,2020-02-27,13
002650,2020-04-07,2
002650,2020-05-18,3
002652,2020-03-24,1
002653,2020-05-20,1
002662,2020-02-21,1
002662,2020-05-06,21
002669,2020-02-13,3
002669,2020-02-18,11
002674,2020-06-02,2
002676,2020-04-23,3
002683,2020-04-21,1
002688,2020-04-07,8
002691,2020-05-25,1
002693,2020-04-10,2
002694,2020-05-22,1
002696,2020-04-03,5
002696,2020-05-12,1
002703,2020-02-18,3
002715,2020-04-14,1
002723,2020-03-20,1
002725,2020-04-02,1
002730,2020-02-27,1
002731,2020-04-01,4
002731,2020-04-03,10
002740,2020-06-03,1
002742,2020-02-05,1
002742,2020-02-06,1
002755,2020-04-27,2
002768,2020-04-07,2
002770,2020-04-02,1
002770,2020-04-02,7
002770,2020-04-08,7
002771,2020-02-28,1
002771,2020-04-21,3
002772,2020-02-10,1
002776,2020-01-15,6
002796,2020-02-25,1
002798,2020-04-09,3
002805,2020-02-20,7
002805,2020-02-20,8
002811,2020-05-27,2
002813,2020-05-11,1
002820,2020-03-25,1
002821,2020-02-04,18
002824,2020-02-19,1
002824,2020-02-20,3
002825,2020-04-17,1
002825,2020-04-17,3
002827,2020-05-06,2
002828,2020-04-02,1
002829,2020-02-12,1
002837,2020-04-17,1
002845,2020-03-31,1
002846,2020-04-07,1
002850,2020-02-04,8
002858,2020-05-18,1
002860,2020-04-07,10
002863,2020-05-11,10
002865,2020-03-18,11
002865,2020-03-18,4
002865,2020-05-28,1
002877,2020-03-18,1
002877,2020-03-18,2
002878,2020-01-03,8
002878,2020-05-11,1
002879,2020-02-27,4
002880,2020-02-14,2
002885,2020-02-19,2
002893,2020-03-20,1
002896,2020-05-22,1
002897,2020-03-19,1
002906,2020-04-30,1
002907,2020-03-25,1
002912,2020-02-04,1
002915,2020-02-24,1
002919,2020-04-27,1
002919,2020-04-27,3
002922,2020-03-19,1
002925,2020-06-09,5
002928,2020-04-15,23
002932,2020-04-21,1
002935,2020-02-10,1
002937,2020-05-27,4
002942,2020-06-04,1
002947,2020-06-01,1
002950,2020-02-05,56
002950,2020-02-28,1
002951,2020-02-18,1
