code,date,uplimit_times,fake_time,uplimit_time,break_time,min_bigorder,yield_rate
300132,2020-01-02,1,2020-01-02 09:38:06.260,2020-01-02 09:37:41.510,2020-01-02 09:43:40.170,8,0.039571310799670016
300264,2020-01-02,3,2020-01-02 10:49:23.740,2020-01-02 10:48:13.120,2020-01-02 15:00:00.000,8,0.10000000000000007
300592,2020-01-03,1,2020-01-03 09:36:34.500,2020-01-03 09:36:14.040,2020-01-03 09:36:41.710,8,-0.07093195931959329
300643,2020-01-03,1,2020-01-03 10:28:07.260,2020-01-03 10:27:31.760,2020-01-03 10:30:37.300,8,0.05591916083512905
000998,2020-01-16,2,2020-01-16 14:37:34.730,2020-01-16 14:37:00.070,2020-01-16 14:40:10.280,8,-0.02491614758025873
300603,2020-01-16,1,2020-01-16 10:03:04.040,2020-01-16 10:02:39.200,2020-01-16 10:10:08.100,8,0.09992810927390372
002166,2020-01-20,2,2020-01-20 10:10:53.560,2020-01-20 10:09:59.920,2020-01-20 10:11:14.610,8,0.10000000000000007
002529,2020-01-20,1,2020-01-20 09:40:13.190,2020-01-20 09:35:58.460,2020-01-20 10:13:05.310,8,0.06323529411764706
300221,2020-01-20,1,2020-01-20 09:32:22.970,2020-01-20 09:31:38.430,2020-01-20 09:33:03.690,8,-0.09538002980625926
002584,2020-01-21,1,2020-01-21 09:50:08.020,2020-01-21 09:49:45.210,2020-01-21 15:00:00.000,8,-0.051948051948051965
300030,2020-01-21,3,2020-01-21 09:46:10.910,2020-01-21 09:45:05.080,2020-01-21 10:18:42.420,8,-0.010165184243964398
300256,2020-01-21,1,2020-01-21 10:04:34.670,2020-01-21 10:03:58.470,2020-01-21 15:00:00.000,8,0.058321479374110925
300641,2020-01-22,1,2020-01-22 09:34:12.230,2020-01-22 09:33:59.350,2020-01-22 09:39:10.840,8,-0.14685314685314674
300342,2020-01-23,1,2020-01-23 10:05:56.390,2020-01-23 10:05:01.830,2020-01-23 10:18:12.940,8,-0.10018050541516244
000698,2020-02-03,1,2020-02-03 10:43:45.710,2020-02-03 10:43:04.650,2020-02-03 15:00:00.000,8,0.061224489795918435
002341,2020-02-03,1,2020-02-03 11:01:30.280,2020-02-03 10:59:20.570,2020-02-03 11:02:17.640,8,0.012784090909090828
002160,2020-02-04,2,2020-02-04 09:50:47.750,2020-02-04 09:50:00.320,2020-02-04 15:00:00.000,8,0.10086455331412104
300282,2020-02-04,1,2020-02-04 11:21:04.090,2020-02-04 11:20:17.740,2020-02-04 15:00:00.000,8,0.10209424083769614
002274,2020-02-10,2,2020-02-10 13:37:25.240,2020-02-10 13:33:51.330,2020-02-10 13:41:02.640,8,-0.018808777429467072
002328,2020-02-10,1,2020-02-10 09:46:42.990,2020-02-10 09:45:59.120,2020-02-10 10:08:23.500,8,-0.06717850287907867
002591,2020-02-10,5,2020-02-10 13:20:46.490,2020-02-10 13:06:08.920,2020-02-10 15:00:00.000,8,-0.0285110876451955
300534,2020-02-11,3,2020-02-11 09:36:51.740,2020-02-11 09:36:30.380,2020-02-11 09:46:11.580,8,-0.040000000000000036
002829,2020-02-12,1,2020-02-12 13:56:43.070,2020-02-12 13:55:10.150,2020-02-12 14:23:02.050,8,0.09434682964094733
300247,2020-02-12,4,2020-02-12 09:44:36.220,2020-02-12 09:43:53.390,2020-02-12 09:51:43.730,8,-0.054607508532423236
300340,2020-02-12,1,2020-02-12 10:33:15.580,2020-02-12 10:27:00.640,2020-02-12 10:40:30.050,8,-0.061688311688311674
000540,2020-02-13,1,2020-02-13 09:38:06.080,2020-02-13 09:36:11.220,2020-02-13 09:46:14.900,8,0.10097719869706843
000540,2020-02-14,3,2020-02-14 10:49:48.500,2020-02-14 10:49:06.290,2020-02-14 10:50:38.250,8,0.10059171597633143
000609,2020-02-14,1,2020-02-14 11:28:03.860,2020-02-14 11:22:52.570,2020-02-14 15:00:00.000,8,0.04724409448818912
002483,2020-02-14,1,2020-02-14 10:16:30.490,2020-02-14 10:15:55.720,2020-02-14 10:35:48.490,8,0.09984152139461178
002880,2020-02-14,2,2020-02-14 09:36:16.020,2020-02-14 09:35:46.120,2020-02-14 09:37:43.730,8,-0.005815687444079898
300102,2020-02-14,1,2020-02-14 13:07:23.910,2020-02-14 13:07:09.510,2020-02-14 13:07:42.250,8,0.10040160642570273
000697,2020-02-17,1,2020-02-17 10:26:55.550,2020-02-17 09:52:40.990,2020-02-17 15:00:00.000,8,0.09989142236699244
002215,2020-02-17,11,2020-02-17 10:09:23.560,2020-02-17 10:05:30.720,2020-02-17 10:29:31.560,8,-0.09090909090909094
002396,2020-02-17,11,2020-02-17 13:15:49.210,2020-02-17 13:07:21.310,2020-02-17 13:37:22.600,8,-0.003505491937368488
300087,2020-02-17,2,2020-02-17 09:59:15.880,2020-02-17 09:56:54.380,2020-02-17 10:21:47.820,8,0.10000000000000007
300230,2020-02-17,2,2020-02-17 09:31:26.700,2020-02-17 09:30:37.240,2020-02-17 09:32:34.430,8,0.10063897763578278
000540,2020-02-18,1,2020-02-18 09:39:51.480,2020-02-18 09:39:26.540,2020-02-18 09:40:42.560,8,0.053789731051344665
000540,2020-02-18,5,2020-02-18 09:58:27.470,2020-02-18 09:57:43.570,2020-02-18 09:59:09.720,8,0.053789731051344665
002101,2020-02-18,1,2020-02-18 09:57:37.190,2020-02-18 09:53:03.890,2020-02-18 09:59:02.180,8,-0.041935483870967794
002413,2020-02-18,2,2020-02-18 09:41:37.400,2020-02-18 09:40:39.820,2020-02-18 09:42:00.420,8,0.056396148555708514
000875,2020-02-19,2,2020-02-19 10:19:08.680,2020-02-19 10:18:33.360,2020-02-19 10:20:19.750,8,0.0050632911392405324
002121,2020-02-19,1,2020-02-19 09:34:30.100,2020-02-19 09:31:42.560,2020-02-19 09:34:52.400,8,-0.061946902654867124
002542,2020-02-19,2,2020-02-19 09:52:04.160,2020-02-19 09:51:21.590,2020-02-19 15:00:00.000,8,-0.02067183462532296
300032,2020-02-19,1,2020-02-19 09:36:40.480,2020-02-19 09:34:51.620,2020-02-19 10:03:19.030,8,0.10109890109890117
300467,2020-02-19,1,2020-02-19 13:29:52.170,2020-02-19 13:28:57.200,2020-02-19 13:34:16.230,8,0.00396628656420428
000016,2020-02-21,13,2020-02-21 14:07:36.710,2020-02-21 14:07:04.340,2020-02-21 14:08:18.480,8,-0.0551248923341946
000889,2020-02-21,1,2020-02-21 09:41:13.960,2020-02-21 09:40:50.440,2020-02-21 09:43:26.080,8,0.06569343065693434
002245,2020-02-21,4,2020-02-21 10:33:13.580,2020-02-21 10:32:20.800,2020-02-21 15:00:00.000,8,-0.007092198581560294
300504,2020-02-21,1,2020-02-21 14:33:51.450,2020-02-21 14:33:14.960,2020-02-21 14:35:13.500,8,0.030622324662495926
300658,2020-02-21,1,2020-02-21 14:04:05.800,2020-02-21 13:58:58.820,2020-02-21 14:06:39.560,8,0.1000944287063268
002006,2020-02-24,1,2020-02-24 10:24:09.300,2020-02-24 09:54:23.650,2020-02-24 10:24:49.270,8,-0.01384083044982698
002598,2020-02-24,1,2020-02-24 09:38:10.340,2020-02-24 09:36:45.590,2020-02-24 09:39:08.420,8,-0.046941678520625814
002970,2020-02-24,1,2020-02-24 09:53:42.910,2020-02-24 09:53:30.660,2020-02-24 10:25:02.590,8,0.048230731943771366
300064,2020-02-24,2,2020-02-24 10:25:10.250,2020-02-24 10:23:35.640,2020-02-24 15:00:00.000,8,0.10000000000000007
300555,2020-02-24,1,2020-02-24 09:45:37.990,2020-02-24 09:45:02.110,2020-02-24 15:00:00.000,8,0.09982332155477014
300678,2020-02-24,1,2020-02-24 11:22:28.020,2020-02-24 11:17:58.650,2020-02-24 11:22:58.800,8,0.01639969488939741
002232,2020-02-25,1,2020-02-25 10:54:34.670,2020-02-25 10:07:16.900,2020-02-25 11:10:48.800,8,0.09963099630996307
300050,2020-02-25,3,2020-02-25 11:09:45.320,2020-02-25 10:59:15.550,2020-02-25 11:14:37.120,8,-0.054517133956386236
300221,2020-02-25,1,2020-02-25 13:10:11.410,2020-02-25 13:08:46.500,2020-02-25 15:00:00.000,8,-0.06797583081571001
000030,2020-02-26,1,2020-02-26 13:32:39.850,2020-02-26 13:31:53.160,2020-02-26 13:34:11.110,8,0.03921568627450989
002535,2020-02-26,1,2020-02-26 10:18:04.570,2020-02-26 10:17:33.300,2020-02-26 10:28:25.340,8,-0.06271777003484325
000509,2020-02-27,1,2020-02-27 11:02:34.330,2020-02-27 10:39:24.610,2020-02-27 11:15:25.420,8,0.0
002481,2020-02-27,1,2020-02-27 10:57:27.100,2020-02-27 10:55:55.440,2020-02-27 10:58:06.190,8,-0.07002188183807445
002517,2020-02-27,4,2020-02-27 10:01:23.720,2020-02-27 09:58:05.840,2020-02-27 10:20:09.310,8,-0.05865921787709494
002730,2020-02-27,1,2020-02-27 13:55:06.260,2020-02-27 13:54:37.760,2020-02-27 13:55:35.710,8,-0.09299655568312293
300205,2020-02-27,6,2020-02-27 10:17:24.300,2020-02-27 10:16:10.090,2020-02-27 10:18:59.230,8,-0.03910256410256408
002503,2020-02-28,4,2020-02-28 10:21:45.330,2020-02-28 10:15:10.840,2020-02-28 10:50:54.990,8,0.09999999999999988
002771,2020-02-28,1,2020-02-28 09:58:25.090,2020-02-28 09:58:01.420,2020-02-28 11:27:51.200,8,0.10019392372333537
000428,2020-03-02,1,2020-03-02 09:36:04.290,2020-03-02 09:35:33.400,2020-03-02 09:43:02.430,8,0.10357142857142844
002291,2020-03-02,4,2020-03-02 14:41:53.960,2020-03-02 14:39:58.860,2020-03-02 14:55:40.790,8,0.09991974317816997
002367,2020-03-02,1,2020-03-02 10:04:42.940,2020-03-02 10:04:05.450,2020-03-02 15:00:00.000,8,0.02355712603062421
002391,2020-03-02,1,2020-03-02 11:11:45.920,2020-03-02 11:11:18.170,2020-03-02 11:13:04.510,8,0.05217391304347818
300071,2020-03-02,1,2020-03-02 13:46:57.340,2020-03-02 13:01:35.440,2020-03-02 14:48:49.460,8,0.09926470588235303
300299,2020-03-02,1,2020-03-02 11:14:30.630,2020-03-02 11:13:46.270,2020-03-02 11:19:22.600,8,0.051975051975051915
300382,2020-03-02,1,2020-03-02 09:34:17.650,2020-03-02 09:33:23.720,2020-03-02 15:00:00.000,8,-0.05035971223021585
300272,2020-03-12,2,2020-03-12 13:22:11.360,2020-03-12 13:21:27.150,2020-03-12 13:22:36.640,8,-0.10032894736842113
000663,2020-03-13,1,2020-03-13 09:33:26.670,2020-03-13 09:30:38.560,2020-03-13 15:00:00.000,8,0.10084033613445388
300189,2020-03-13,1,2020-03-13 13:38:10.020,2020-03-13 13:36:48.040,2020-03-13 13:42:14.800,8,-0.01822916666666663
300655,2020-03-13,2,2020-03-13 10:29:57.520,2020-03-13 10:29:36.200,2020-03-13 11:11:12.280,8,-0.04468864468864486
000721,2020-03-16,1,2020-03-16 10:50:15.430,2020-03-16 10:33:20.140,2020-03-16 14:20:44.880,8,-0.06858407079646013
002560,2020-03-16,3,2020-03-16 10:52:39.270,2020-03-16 10:51:18.210,2020-03-16 10:53:19.040,8,0.10013351134846472
300698,2020-03-16,1,2020-03-16 13:45:35.350,2020-03-16 13:38:04.220,2020-03-16 13:46:23.030,8,-0.09180918091809176
002426,2020-03-18,9,2020-03-18 13:00:00.020,2020-03-18 10:26:38.680,2020-03-18 13:58:24.200,8,0.1013215859030836
300238,2020-03-18,1,2020-03-18 13:56:29.080,2020-03-18 09:56:05.560,2020-03-18 13:56:46.040,8,-0.08459979736575463
002897,2020-03-19,1,2020-03-19 11:07:09.930,2020-03-19 09:57:55.430,2020-03-19 13:00:54.220,8,0.06780150028851706
